  PID   TID   UID COMM                        CMDLINE                     CMD             LABEL                          STAT  WCHAN 
  257   257     0 [rmnet_ctlwq]               [rmnet_ctlwq]               rmnet_ctlwq     u:r:kernel:s0                  I<    rescuer_thread
  258   258     0 [hwrng]                     [hwrng]                     hwrng           u:r:kernel:s0                  S     add_hwgenerator_randomness
  259   259     0 [irq/53-arm-smmu]           [irq/53-arm-smmu]           irq/53-arm-smmu u:r:kernel:s0                  S     irq_thread
  260   260     0 [irq/54-arm-smmu]           [irq/54-arm-smmu]           irq/54-arm-smmu u:r:kernel:s0                  S     irq_thread
  261   261     0 [irq/59-arm-smmu]           [irq/59-arm-smmu]           irq/59-arm-smmu u:r:kernel:s0                  S     irq_thread
  262   262     0 [usb_bam_wq]                [usb_bam_wq]                usb_bam_wq      u:r:kernel:s0                  I<    rescuer_thread
  263   263     0 [irq/152-pwr_eve]           [irq/152-pwr_eve]           irq/152-pwr_eve u:r:kernel:s0                  S     irq_thread
  264   264     0 [irq/151-dp_hs_p]           [irq/151-dp_hs_p]           irq/151-dp_hs_p u:r:kernel:s0                  S     irq_thread
  265   265     0 [irq/154-dm_hs_p]           [irq/154-dm_hs_p]           irq/154-dm_hs_p u:r:kernel:s0                  S     irq_thread
  266   266     0 [kworker/u16:3-kverityd]    [kworker/u16:3-kverityd]    kworker/u16:3-kverityd u:r:kernel:s0           I     worker_thread
  267   267     0 [irq/153-ss_phy_]           [irq/153-ss_phy_]           irq/153-ss_phy_ u:r:kernel:s0                  S     irq_thread
  268   268     0 [msm_vidc_worker]           [msm_vidc_worker]           msm_vidc_worker u:r:kernel:s0                  I<    rescuer_thread
  269   269     0 [pm_workerq_venu]           [pm_workerq_venu]           pm_workerq_venu u:r:kernel:s0                  I<    rescuer_thread
  270   270     0 [vidc_core_workq]           [vidc_core_workq]           vidc_core_workq u:r:kernel:s0                  I<    rescuer_thread
  271   271     0 [irq/62-arm-smmu]           [irq/62-arm-smmu]           irq/62-arm-smmu u:r:kernel:s0                  S     irq_thread
  272   272     0 [irq/63-arm-smmu]           [irq/63-arm-smmu]           irq/63-arm-smmu u:r:kernel:s0                  S     irq_thread
  273   273     0 [irq/64-arm-smmu]           [irq/64-arm-smmu]           irq/64-arm-smmu u:r:kernel:s0                  S     irq_thread
  274   274     0 [irq/65-arm-smmu]           [irq/65-arm-smmu]           irq/65-arm-smmu u:r:kernel:s0                  S     irq_thread
  275   275     0 [irq/66-arm-smmu]           [irq/66-arm-smmu]           irq/66-arm-smmu u:r:kernel:s0                  S     irq_thread
  276   276     0 [byte-cntr]                 [byte-cntr]                 byte-cntr       u:r:kernel:s0                  I<    rescuer_thread
  277   277     0 [etr_pcie]                  [etr_pcie]                  etr_pcie        u:r:kernel:s0                  I<    rescuer_thread
  278   278     0 [irq/43-arm-smmu]           [irq/43-arm-smmu]           irq/43-arm-smmu u:r:kernel:s0                  S     irq_thread
  279   279     0 [kgsl-events]               [kgsl-events]               kgsl-events     u:r:kernel:s0                  I<    rescuer_thread
  280   280     0 [irq/44-arm-smmu]           [irq/44-arm-smmu]           irq/44-arm-smmu u:r:kernel:s0                  S     irq_thread
  281   281     0 [irq/45-arm-smmu]           [irq/45-arm-smmu]           irq/45-arm-smmu u:r:kernel:s0                  S     irq_thread
  282   282     0 [irq/46-arm-smmu]           [irq/46-arm-smmu]           irq/46-arm-smmu u:r:kernel:s0                  S     irq_thread
  283   283     0 [kgsl_devfreq_wq]           [kgsl_devfreq_wq]           kgsl_devfreq_wq u:r:kernel:s0                  I<    rescuer_thread
  284   284     0 [msm_cvp_workerq]           [msm_cvp_workerq]           msm_cvp_workerq u:r:kernel:s0                  I<    rescuer_thread
  285   285     0 [pm_workerq_iris]           [pm_workerq_iris]           pm_workerq_iris u:r:kernel:s0                  I<    rescuer_thread
  286   286     0 [irq/67-arm-smmu]           [irq/67-arm-smmu]           irq/67-arm-smmu u:r:kernel:s0                  S     irq_thread
  287   287     0 [irq/68-arm-smmu]           [irq/68-arm-smmu]           irq/68-arm-smmu u:r:kernel:s0                  S     irq_thread
  288   288     0 [irq/69-arm-smmu]           [irq/69-arm-smmu]           irq/69-arm-smmu u:r:kernel:s0                  S     irq_thread
  289   289     0 [cvp-dsp-thread]            [cvp-dsp-thread]            cvp-dsp-thread  u:r:kernel:s0                  S     cvp_dsp_thread
  290   290     0 [irq/70-arm-smmu]           [irq/70-arm-smmu]           irq/70-arm-smmu u:r:kernel:s0                  S     irq_thread
  291   291     0 [irq/71-arm-smmu]           [irq/71-arm-smmu]           irq/71-arm-smmu u:r:kernel:s0                  S     irq_thread
  292   292     0 [irq/72-arm-smmu]           [irq/72-arm-smmu]           irq/72-arm-smmu u:r:kernel:s0                  S     irq_thread
  293   293     0 [mem_buf_rcvr]              [mem_buf_rcvr]              mem_buf_rcvr    u:r:kernel:s0                  S     hh_msgq_recv
  294   294     0 [irq/73-arm-smmu]           [irq/73-arm-smmu]           irq/73-arm-smmu u:r:kernel:s0                  S     irq_thread
  295   295     0 [irq/74-arm-smmu]           [irq/74-arm-smmu]           irq/74-arm-smmu u:r:kernel:s0                  S     irq_thread
